answers,date,tags,title,user,votes
6,2019-05-28T08:03:00,"Biblical Basis,Prophecy,Apocrypha,Inspiration,Deuterocanonical Books",Is there any Biblical Basis for 400 years of silence between Old and New Testament?,David Woitkowski,38
6,2011-08-30T12:51:00,Bible Translation,Why are there so many translations of the Bible?,Flimzy,39
7,2011-09-12T17:26:00,"Forgiveness,Righteousness,Lot","Why was Lot ""let off the hook"" for offering his daughters to be raped?",Flimzy,39
7,2011-08-23T19:45:00,"Biblical Basis,Reformed Theology,Total Depravity",What is the Biblical basis for Total Depravity?,wax eagle,39
7,2011-08-30T21:46:00,"Genesis,Creation",How can the sun be created after day and night?,rpeg,40
11,2011-09-01T20:09:00,"Nature Of God,Science,Natural Law",How do Christians understand the omniscience of God in relation to the Uncertainty Principle?,AdamRedwine,40
11,2011-09-02T20:02:00,"Life Of Jesus,Prophecy,Kingdom Of God","Jesus predicts that some will not die until he comes in his kingdom, but did this occur?",aceinthehole,40
4,2011-12-09T01:49:00,"Biblical Basis,Historical Jesus",What evidence is there that Jesus was a carpenter?,Jürgen A. Erhard,40
5,2011-08-23T21:00:00,"Life Of Jesus,Biblical Basis,Christology,Incarnation,Divinity",What is the biblical basis for Jesus being God incarnate?,Richard,40
6,2011-08-23T19:52:00,"Mosaic Law,Christian Living,Leviticus",How is ignoring clear Biblical instructions in Leviticus justified?,8128,42
11,2012-02-12T04:19:00,"Biblical Basis,Lds,Book Of Mormon",What is the biblical basis for believing in the Book of Mormon?,the_midget_17,36
7,2011-08-30T13:34:00,"Life Of Jesus,Exegesis,Gospel Of Matthew,Messiah,Messianic Secret",Why did Jesus not want to be known as the Messiah?,Richard,37
6,2011-09-02T04:31:00,"History,Exegesis,Giants","Who were the ""giants"" mentioned in the Bible?",user1114,37
5,2011-08-26T22:48:00,"Exegesis,Textual Discrepancies,Suicide,Judas Iscariot,Death",How did Judas die?,StackExchange saddens dancek,34
11,2020-07-23T04:03:00,"Nature Of God,Love,Messiah,Wrath Of God",Did God change from a wrathful God to a loving God between Old Testament and New Testament?,TeluguBeliever,34
2,2013-08-01T16:56:00,"Life Of Jesus,Morality,Gospel Of John,Judas Iscariot",Has any prominent theologian ever explained why Jesus let a thief be in charge of the money?,Reinstate Monica - Goodbye SE,35
3,2011-08-24T00:40:00,"Biblical Basis,Heaven","According to the Bible, do animals have souls?",El'endia Starman,35
1,2011-09-07T21:05:00,"Exegesis,Revelation,Israel",What happened to the tribe of Dan in Revelation?,Reinstate Monica - Goodbye SE,35
6,2011-09-28T02:44:00,"Crucifixion,Judas Iscariot,Pharisees",Why did the Pharisees need Judas to betray Jesus?,Sufendy,35
11,2012-08-04T02:12:00,"Heaven,Hell",Why should a sinner suffer forever in hell fire?,tunmise fashipe,35
3,2012-09-30T17:18:00,"Terminology,Inerrancy,Inspiration,Infallibility,Fundamentalism","From a Fundamentalist standpoint, what does the phrase ""Inspired, infallible, inerrant Word of God"" mean?",David Stratton,35
9,2011-08-30T21:41:00,Bible Translation,How can we trust the Bible after it has been translated to another language?,Caleb,36
7,2011-09-06T00:08:00,"Catholicism,Papacy,Ex Cathedra",When does the Pope speak ex cathedra?,StackExchange saddens dancek,36
11,2011-09-05T14:05:00,"Original Sin,Fall Of Man,Punishment,Theodicy,Original Guilt",Why has God punished every human for one person's sin?,Jonathan.,37
7,2011-10-03T01:31:00,"Paul Apostle,Heresy,Apostles,Authority",How do traditional Christians defend the teaching that Paul is an authentic apostle?,David Stratton,37
11,2011-08-23T19:33:00,"Faith,Works","Does believing in Jesus Christ save me, or do I have to do something more?",Jim McKeeth,33
2,2011-08-25T12:04:00,"History,Exodus,Ten Commandments,Deuteronomy",Why are there different divisions of the Ten Commandments?,StackExchange saddens dancek,33
3,2011-08-25T21:19:00,"Exegesis,Lds,Revelation,Canon,Scriptures",How do Mormons interpret the warning in Revelation about adding to the book?,,33
14,2011-08-26T17:56:00,"Sin,Sanctification,Lifestyle",How can one overcome lustful desires?,capitalaudience.com,33
9,2012-05-10T01:26:00,"Biblical Basis,Homosexuality",What is a Christian's justification for a legal prohibition of homosexual marriage?,Flimzy,31
4,2012-06-06T22:46:00,"Protestantism,Terminology,Evangelicalism",What is the difference between Evangelical and Protestant?,Caleb,31
8,2011-08-23T19:29:00,"Biblical Basis,Mosaic Law,Law And Gospel","Do we have to obey the laws of the bible? If so, what laws?",capitalaudience.com,32
6,2013-10-24T05:01:00,"Life Of Jesus,Gospel Of Matthew,Crucifixion,Jews,Aramaic","Why didn't the Jews understand ""Eli, Eli, lama sabachthani""?",Byzantine,32
9,2011-09-05T20:00:00,"Jehovahs Witnesses,Crucifixion,Cross",Crucifixion - torture stake or cross?,StackExchange saddens dancek,32
5,2011-09-15T21:29:00,"Demons,Mental Illness",Mental Illness vs. Demon Possession,Flimzy,32
7,2012-09-07T11:21:00,"History,Exodus,Moses,Chronology,Ancient Egypt",Who was Pharaoh when Moses lived in Egypt?,tunmise fashipe,32
6,2013-01-14T02:09:00,Trinity,What is the doctrine of the Trinity?,bn.,33
4,2011-08-23T20:53:00,"Protestantism,Prophecy,Theophany,Murder",Is murder allowed if God tells you to do it?,Richard,33
7,2011-08-31T09:15:00,"Life Of Jesus,History,Christmas,Chronology,Birth Of Jesus",In which year was Christ born?,StackExchange saddens dancek,34
10,2020-01-02T16:22:00,"Church History,History,Comparative Christianity,Global Christianity,Denomination","Can somebody summarize the different ""branches"" of Christianity to me, and explain why they exist in the first place?",Lloyd,34
4,2011-10-31T17:10:00,"Catholicism,Exegesis,Gospel Of Matthew,Words Of Jesus",What is the Roman Catholic view on Matthew 23:9?,Shathur,30
8,2011-12-30T14:05:00,"Life Of Jesus,History,Christmas,Birth Of Jesus,Calendar",Why is Christmas on December 25th?,,30
7,2011-08-25T14:39:00,"Exegesis,Life Of Jesus,Crucifixion,Gospel Of Mark",What is significant about the torn curtain? What about Jesus' death impressed the centurion at the cross?,Richard,30
6,2011-08-30T13:41:00,"Exegesis,Miracles,Gospel Of John",Why did Jesus protest before performing his first miracle?,Flimzy,31
6,2011-08-23T22:08:00,"Bible,Sin,Sexuality,Homosexuality",What does the bible say about homosexuality?,capitalaudience.com,31
5,2011-09-11T08:47:00,"Biblical Basis,Satan,Angels",What is the Biblical basis for saying Lucifer is an angel?,brilliant,30
6,2011-09-18T18:52:00,"Genesis,Flood Of Noah,Adam,Human Body,Methuselah",Why did people live so long before the Flood?,StackExchange saddens dancek,30
4,2011-10-07T14:11:00,"Trinity,Pneumatology,Nicene Creed,Filioque","What are the theological implications of ""filioque""?",James T,30
9,2011-10-17T06:58:00,"Exegesis,Genesis,Jacob","If God set the maximum age to 120, then how could Jacob be 130 years old?",Shathur,30
3,2013-01-01T19:11:00,"Catholicism,Virgin Mary,Immaculate Conception","According to Roman Catholic doctrine, why does Mary refer to God as her Savior if she was born without sin?",Narnian,31
5,2013-07-10T05:43:00,"Gospel Of John,Revelation,Authorship,John Apostle",Who wrote the Book of Revelation?,Philip Schaff,31
6,2011-08-24T14:13:00,"Protestantism,Martin Luther,Virgin Mary,Perpetual Virginity",What Protestant arguments exist for the perpetual virginity of Mary?,StackExchange saddens dancek,31
4,2011-10-31T13:54:00,"Exegesis,Isaiah,Names Of God",Why is Jesus named the Prince of Peace instead of the King of Peace?,Narnian,31
2,2016-08-15T11:48:00,"Gospel Of John,Gospels,Resurrection,Inerrancy,Biblical Reliability","According to those holding that Lazarus was literally raised from the dead, why did Matthew, Mark, and Luke not mention it?",Nathaniel is protesting,31
1,2018-07-02T03:28:00,"Martin Luther,Crusades",What were Martin Luther's opinions on the Crusades?,Thunderforge,31
12,2020-12-01T14:31:00,"Mosaic Law,Diet,Deuteronomy",Why do most Christians eat pork when Deuteronomy says not to?,Bil,29
10,2011-08-27T18:16:00,"Soteriology,Sin,Crucifixion,Forgiveness",What was it about the death of Jesus that allows God to forgive us?,capitalaudience.com,29
10,2012-07-31T19:05:00,"Apologetics,Philosophy,Existence Of God","What reasons does Christianity give for ""Why There Must Be A God?""",,29
2,2013-03-13T19:37:00,Papacy,Does the pope get paid for being the pope?,DiverseAndRemote.com,30
4,2013-07-22T22:15:00,"Biblical Basis,Marriage,Sexuality,Homosexuality",How do Christians in support of gay marriage interpret anti-gay Bible verses?,,30
9,2011-09-06T11:07:00,"Nature Of God,Nature Of Man,Good And Evil,Doubt",Can man judge whether God is fair?,Caleb,29
7,2011-09-07T10:13:00,"Obedience,Civil Government",Are Christians bound to the laws of their country?,Caleb,29
6,2011-09-09T19:02:00,"Trinity,Mind Of God",Does the Trinity share one mind or are there three separate minds?,Chelonian,29
4,2011-09-12T00:13:00,"Catholicism,Apostolic Succession",In which other churches do Roman Catholics recognize apostolic succession?,TRiG,29
9,2011-10-16T22:08:00,"Nature Of God,Genesis,Textual Discrepancies,Exodus,Jacob",How could Jacob wrestle with God if no one can see God and live?,clicker,29
3,2011-10-24T11:02:00,"Life Of Jesus,Genealogy,Joseph Husband Of Mary",Why is Jesus' genealogy traced through Joseph?,Jonathan,29
2,2011-10-28T15:07:00,"Catholicism,Biblical Basis,Virgin Mary,Tradition,Perpetual Virginity",On what do Catholics base their doctrine of the eternal virginity of Mary?,Narnian,29
3,2011-11-25T21:41:00,"Npp,Paul Apostle","What is ""new"" in the New Perspective on Paul?",Caleb,29
8,2012-01-27T14:15:00,"History,Textual Discrepancies,Historical Jesus,Chronology,Birth Of Jesus","How could Jesus be born during the reign of Herod, and when Quirinius was governor of Syria, if those periods were not contemporary?",,29
6,2011-08-26T14:48:00,"Bible,Names Of God",What are the different names of God in the Bible and what do they mean?,capitalaudience.com,29
11,2011-10-03T15:19:00,"Exegesis,Textual Discrepancies,Law And Gospel",What does it mean that Jesus fulfilled the law but did not abolish it?,Richard,28
5,2011-10-26T05:11:00,"Church History,Early Church,Tithe,2 Corinthians",Was tithing 10% required or encouraged by the early church?,Reinstate Monica - Goodbye SE,28
4,2016-06-28T21:59:00,"New Testament,Early Church,Church Fathers,Spiritual Gifts,Speaking In Tongues","Do any Church Fathers directly connect ""speaking in tongues"" with anything other than existing human languages?",Nathaniel is protesting,28
8,2011-08-25T14:43:00,"Biblical Basis,Soteriology,Universalism",What is the Biblical basis for Universal salvation?,StackExchange saddens dancek,28
16,2012-03-20T02:59:00,"Nature Of God,Science,Miracles",Do miracles violate the laws of physics?,Golden Cuy,28
18,2012-04-03T20:37:00,"Exegesis,Exodus,Moses,Numbers",Why was God so upset with Moses for striking the rock the second time in the desert?,Narnian,28
4,2012-07-11T00:57:00,"Life Of Jesus,Historical Jesus,Language",What languages did Jesus speak?,Jas 3.1,27
7,2023-01-30T18:40:00,"Apologetics,Intelligent Design","How do proponents of the Fine Tuning argument for God, refute the puddle comparison?",Isaac Middlemiss,27
12,2013-07-25T17:14:00,"Catholicism,Virgin Mary,Apologetics,Mariology",Why can't Catholicism just drop its Marian devotion?,svidgen,28
14,2011-09-06T20:29:00,"Exegesis,Gospel Of Luke,Parables","Prominent Theologians' answer to: What is ""The Parable of the Shrewd Manager"" about?",Reinstate Monica - Goodbye SE,28
4,2011-08-24T11:45:00,"Exegesis,Gospel Of Matthew","What is the meaning of ""let the dead bury their dead""?",Jamess,28
7,2011-09-18T21:19:00,"Soteriology,Prayer,Evangelicalism","Is the ""sinner's prayer"" important for salvation and why?",aceinthehole,28
3,2011-08-24T13:24:00,"Biblical Basis,Protestantism,Sexuality,Contraception",Why do Protestants allow contraception?,StackExchange saddens dancek,28
1,2012-08-27T18:08:00,Bible,In what countries is it illegal to own a Bible (the most banned book in the world)?,Narnian,28
7,2011-08-30T12:13:00,"Sin,Sexuality,Nature Of Man",Does God create some people Heterosexual and others Homosexual?,Caleb,29
12,2012-02-20T23:06:00,"Bible,Language",Are there any examples of sarcasm in the bible?,Owen,27
6,2011-08-26T14:35:00,"Catholicism,Biblical Basis,Purgatory",What is the Biblical support for Purgatory?,El'endia Starman,27
2,2012-04-01T01:43:00,Hymns,"Why do I sing, ""Here I raise my Ebenezer?""",Affable Geek,27
2,2012-04-02T03:37:00,"Catholicism,Confession",How do Catholics justify confessing to a priest?,El'endia Starman,27
10,2011-08-26T15:11:00,"Life Of Jesus,Crucifixion,Passion Of Jesus",Why did Jesus wear the crown of thorns?,DForck42,27
3,2019-09-04T05:37:00,"Bible,Persecution",What are some countries where you can be imprisoned for reading or owning a Bible?,hyperlink,27
8,2012-04-26T07:28:00,"Soteriology,Gospel Of John,Hebrews,Apostasy",Can a Christian choose to walk away from his or her salvation?,El'endia Starman,27
6,2015-08-19T04:04:00,"Exegesis,Gospels,Messiah,Historical Jesus,Messianic Secret","What explanations have been offered for the ""messianic secret"" passages?",ThaddeusB,27
3,2015-11-05T18:53:00,"Church History,Terminology,Origin,Christmas,Name Of Jesus",Is Xmas a secular name for Christmas?,The Freemason,27
9,2011-08-25T02:14:00,"Exegesis,Heaven,1 Corinthians","Are there multiple levels to Heaven, for different levels of reward?",beatgammit,27
8,2011-12-13T22:49:00,"Virgin Mary,Gospel Of Luke,John The Baptist,Doubt",Why was Zachariah punished while Mary was not?,amal antony,27
4,2012-01-20T11:38:00,"Bible,Biblical Basis,Canon",What are the biblical arguments that the Bible canon is closed?,David Laberge,27
1,2012-02-12T20:31:00,"Martin Luther,Calvin",What were the main doctrinal disagreements between Luther and Calvin?,brilliant,27
6,2012-05-17T05:20:00,"Church History,Christian Living,Culture,Origin,Relationships","What is the history of the concept of a ""personal relationship with Jesus""?",Flimzy,27
6,2012-05-18T19:06:00,"History,Young Earth Creation",How do Young Earth Creationists account for civilisations with histories going back five thousand years or more?,TRiG,27
4,2011-09-02T19:26:00,"Catholicism,Biblical Basis,Sexuality,Priesthood,Celibacy",What is the scriptural basis for clerical celibacy?,StackExchange saddens dancek,27
2,2013-09-19T20:28:00,"Translation,Augustine,Christian Literature",Which translation of Augustine's Confessions is the easiest to read in English?,Matt J.,27
7,2011-09-04T09:53:00,"Heaven,Angels,Nature Of Man",What Bible verses suggest that humans can become angels?,Jenny Thomson,27
8,2011-08-24T01:45:00,Eschatology,What is God waiting for before He ends the world?,Sufendy,27
6,2014-08-12T18:04:00,"Catholicism,Vatican Ii","For Catholics who object to Vatican II, what are the key issues?",Monica Cellio,27
1,2011-10-23T19:25:00,"Mosaic Law,Morality,Covenant Theology,Tripartite Law Division",How can I tell the difference between the Moral law and other laws in the old testament?,C. Ross,27
6,2011-08-24T11:30:00,"Exegesis,Faith,Baptism,Denomination Survey,Ephesians","Interpretation of the scripture ""One Lord, one faith, one baptism?""",Daniel Standage,26
5,2011-08-24T18:00:00,"Prayer,Predestination",What is the purpose of Prayer?,wax eagle,26
6,2011-10-13T03:02:00,"Genesis,Theophany,Jacob",Why did God wrestle with Jacob?,Peter Turner,26
6,2011-10-28T15:30:00,"Biblical Basis,Virgin Mary,Perpetual Virginity",What is the Biblical evidence against the perpetual virginity of Mary?,Narnian,26
6,2011-08-26T03:08:00,"Catholicism,Nicene Creed,Christology","How should I understand the emphasis on ""begotten, not made"" in the Nicene Creed?",,26
12,2012-03-05T20:25:00,"Church History,Hymns",What is the oldest hymn (with music) that is still sung in churches today?,Affable Geek,26
9,2012-03-15T22:52:00,"Paul Apostle,Inspiration,Epistles",Are Paul's letters to be taken as God's word?,Nigh,26
1,2013-02-09T20:17:00,"Trinity,Liturgy,Creeds And Confessions","Why do we use the order ""Father, Son, and Holy Spirit""?",James T,27
1,2013-03-27T15:55:00,"Anglicanism,Church Polity",How does current Church of England polity compare with Richard Hooker's teaching?,James T,27
5,2013-01-25T19:29:00,"Church History,Augustine",What color was Augustine's skin?,Affable Geek,26
8,2013-03-06T20:43:00,"Exegesis,Protestantism,Gospel Of Matthew,Peter,Ecclesiology",How do Protestants interpret Matthew 16:13–20?,,26
13,2011-08-31T19:10:00,"Predestination,Free Will,Exodus,Omniscience","If God already knows all of our decisions, does this mean we don't have free will?",Richard,26
4,2013-06-21T04:03:00,"Gospel Of John,Islam",What is the role of Mohammed in the Bible?,Emmanuel Angelo.R,26
3,2013-06-27T12:23:00,"Culture,Amish",What is the reasoning behind the Amish practice of avoiding technological advances?,Narnian,26
3,2013-08-01T14:09:00,"Biblical Basis,Nature Of God,Trinity,Non Trinitarian",What is the Biblical basis for disbelief in the doctrine of the Trinity?,warren,26
8,2011-09-02T19:00:00,"Soteriology,Heaven,Atheism",Can an atheist go to heaven?,Mad Scientist,26
5,2011-11-07T00:45:00,"History,Apostles,Peter,Family",Did Christ's original twelve apostles have families?,,25
9,2011-11-22T05:53:00,"Exegesis,Gospel Of Luke","What does Jesus mean by saying, ""Why do you call me good?""",r3s3arch3r777,25
7,2011-12-14T18:11:00,"Life Of Jesus,Gospels,Names Of God","Why does Jesus refer to himself as the ""Son of Man""?",Mike Pone,25
5,2017-11-13T15:41:00,Lds,Do LDS believe other churches to be the church of Satan?,,25
7,2011-08-27T00:52:00,"Sexuality,Greek,Word Study,Liberal Christianity",What's is the case for premarital sex being an instance of πορνεία (porneia)?,StackExchange saddens dancek,25
9,2011-08-27T02:33:00,"Flood Of Noah,Young Earth Creation,Archaeology",What is the physical evidence for a global flood?,Kramii,25
10,2012-07-23T17:58:00,"Gospels,Moses,Prophets,Elijah,Transfiguration",How did Peter recognize Elijah and Moses?,Monika Michael,25
3,2011-08-29T22:21:00,"Bible,Marriage",What does the bible say about interracial marriages?,,26
12,2014-03-25T02:11:00,"Exegesis,Protestantism,Gospel Of Matthew,Eschatology,Judgment","What did Jesus mean by ""this generation will certainly not pass away.."" in Matthew 24:34?",muffin,25
4,2011-09-13T21:28:00,"Catholicism,Conversion,G K Chesterton",Why did G.K. Chesterton convert to Catholicism?,StackExchange saddens dancek,25
4,2014-06-13T06:38:00,"Lds,Book Of Mormon",What important Mormon doctrines are taught in the book of Mormon that we couldn't find in the Bible already?,david brainerd,25
6,2011-09-19T20:47:00,"Exegesis,Reference Request,Book Of James",What scripture is James 4:5 referring to?,StackExchange saddens dancek,25
4,2011-09-22T01:18:00,"Exegesis,Satan,Gospel Of Matthew,Love",Should we love Satan since he is our greatest enemy?,Sufendy,25
4,2011-09-22T12:14:00,"Reformation,Canon,Deuterocanonical Books",Why were Deuterocanonical books rejected in the Reformation?,StackExchange saddens dancek,25
1,2011-09-22T12:34:00,"Canon,Deuterocanonical Books,Septuagint",Why doesn't the Catholic Bible include all books from Septuagint?,StackExchange saddens dancek,25
6,2011-09-29T03:10:00,"Exegesis,Satan,2 Corinthians","What does it mean that Satan is ""god of this world""?",a_hardin,25
4,2011-09-04T22:50:00,"Church History,Prayer,Tradition",What is the origin of praying hands folded?,StackExchange saddens dancek,25
6,2013-11-06T12:24:00,"Textual Discrepancies,Exodus,Moses",How did the livestock of the Egyptians die twice?,2pietjuh2,25
7,2011-08-24T02:19:00,"Hell,Predestination",Are some people created to go to Hell?,Sufendy,25
5,2011-09-09T17:40:00,"Reformation,Natural Law,Thomas Aquinas",Did reformation leaders throw out the Summa Theologica?,Peter Turner,25
4,2014-02-28T20:44:00,"Church History,Nicene Creed,Ecumenical Council",Was the Nicene Creed accepted under duress?,Flimzy,25
9,2011-09-30T02:06:00,"History,Israel,David,1 Chronicles",Why was taking census a bad thing?,Phonics The Hedgehog,25
4,2015-02-01T04:06:00,"Biblical Basis,Soteriology,Protestantism,Baptism",What is the basis that some Protestants teach the non-necessity of baptism for salvation?,Gregory Magarshak,25
13,2012-12-20T23:02:00,"Exegesis,Gospel Of Matthew,Prophecy,Textual Discrepancies,Prophets","Who said ""he would be called a Nazarene""?",aceinthehole,25
2,2011-08-23T22:43:00,"Biblical Basis,Capital Punishment",What does the Bible say about Capital Punishment?,Tom Duckering,25
5,2011-08-23T19:30:00,"Bible,Literalism",Does being a Christian mean being a Bible literalist?,Jim McKeeth,25
7,2012-03-30T14:09:00,"Genesis,Adam And Eve,Theistic Evolution",What are the Biblical and theological problems with theistic evolution?,Narnian,24
2,2012-04-01T13:06:00,"Church Local,Early Church,Gender",When and how did men and women start sitting together in church?,Reinstate Monica - Goodbye SE,24
3,2011-08-26T14:50:00,"Biblical Basis,Tithe",What does the Bible say about tithing?,capitalaudience.com,24
7,2012-04-11T21:17:00,"Life Of Jesus,Exegesis,Gospel Of Luke",Why did Jesus tell His disciples to buy a sword?,Reinstate Monica - Goodbye SE,24
7,2020-04-01T06:09:00,"Church History,Reference Request,Disease,Pastoral Care",What have Christians taught during past plagues and pandemics?,curiousdannii,24
5,2012-08-07T07:33:00,"Catholicism,Communion,Transubstantiation",How do Catholics support transubstantiation?,El'endia Starman,24
12,2022-08-29T20:00:00,"Apologetics,Resource Request,Philosophy,Belief,Epistemology","Believing that Christianity is ""probably"" true vs. being fully convinced that Christianity is definitely true?",,24
13,2012-08-21T17:45:00,"Gospel Of Matthew,Resurrection","Where can I find out more about other people rising from the dead, when Jesus died on the Cross?",Greg McNulty,24
2,2011-08-29T11:05:00,Bible Translation,What distinctive kinds of Bible translations are there?,Caleb,24
6,2012-10-11T22:15:00,"Soteriology,Reformed Theology,Will Of God,Predestination","""God desires all men to be saved"" from a Calvinist perspective?",Jas 3.1,25
8,2011-08-23T21:53:00,"Sin,Sexuality,Protestantism","Sex outside of marriage is a sin. But what about ""less than sex""?",Richard,25
5,2011-08-30T14:44:00,"Church History,Symbolism,Cross",How did the cross come to be a symbol for Christianity?,DForck42,25
